model,mae,rmse,mape,surge_precision,surge_recall,surge_f1,false_alarm_rate,source
Yesterday baseline,89.83,139.72,28.49,0.544,0.544,0.544,0.031,computed
7-day moving average,101.54,159.71,32.87,0.455,0.333,0.38,0.029,computed
Prophet-only,71.25,100.88,25.41,0.746,0.758,0.751,0.018,artifact_eval
Prophet+LSTM hybrid,74.68,145.2,17.6,0.0,0.0,0.0,,saved_metrics
LSTM-only,,,,,,,,not_available_separate_checkpoint
LightGBM surge classifier,,,,0.626,0.892,0.732,,saved_metrics
Prophet+LSTM+LightGBM decision model,61.33,99.07,15.93,0.845,0.798,0.817,,saved_metrics
